node_id,tier,body_id,nx,ny,nz,tbars,body_size,soma_side
0,T1_sensory,42786,53184.0,18989.0,11863.0,127,294780843,L
1,T1_sensory,39617,52480.0,17420.0,11194.0,159,220169628,L
2,T1_sensory,122868,48438.0,11904.0,13365.0,121,236207168,L
3,T1_sensory,81810,46796.0,13997.0,12741.0,17,219657944,R
4,T1_sensory,157362,43461.0,17440.0,12014.0,2,117184663,R
5,T1_sensory,543768,48578.0,18672.0,12205.0,108,261094789,L
6,T1_sensory,83277,53964.0,18010.0,11485.0,45,146422083,L
7,T1_sensory,158196,56090.0,17840.0,11932.0,89,158096525,L
8,T1_sensory,100918,49939.0,19085.0,12461.0,112,277710324,L
9,T1_sensory,146091,52764.0,19246.0,12084.0,1,96047478,L
10,T1_sensory,135290,44418.0,17982.0,12584.0,93,185777590,R
11,T1_sensory,129430,50961.0,18003.0,11479.0,165,234523412,L
12,T1_sensory,87162,47842.0,18819.0,12390.0,79,260288038,R
13,T1_sensory,126603,50456.0,16538.0,11554.0,2,141980699,L
14,T1_sensory,96571,53516.0,17766.0,10982.0,4,124304100,L
15,T1_sensory,139066,49042.0,18698.0,12454.0,36,139098201,L
16,T1_sensory,99755,48272.0,13544.0,13262.0,2,108987367,R
17,T1_sensory,204930,54198.0,16434.0,11561.0,77,240613073,L
18,T1_sensory,152326,54332.0,16930.0,11312.0,89,153001029,L
19,T1_sensory,535721,41692.0,17220.0,12214.0,2,109162032,R
20,T1_sensory,91391,52958.0,18268.0,11232.0,126,210063689,L
21,T1_sensory,167073,44052.0,18322.0,12646.0,3,79680204,R
22,T1_sensory,107765,48261.0,14630.0,12217.0,59,195797695,L
23,T1_sensory,103582,39949.0,27655.0,11782.0,4,122551929,R
24,T1_sensory,518162,48918.0,20698.0,13388.0,65,365725882,L
25,T1_sensory,164279,43674.0,18538.0,12736.0,56,111974046,R
26,T1_sensory,113001,45576.0,19196.0,12822.0,50,168642322,R
27,T1_sensory,101766,48182.0,13229.0,13648.0,16,151353186,R
28,T1_sensory,87970,50632.0,19370.0,11980.0,70,220098897,L
29,T1_sensory,147184,51407.0,18045.0,11587.0,1,119218212,L
30,T1_sensory,98265,52330.0,16786.0,11292.0,91,196765743,L
31,T1_sensory,154387,51494.0,17064.0,11394.0,31,139032010,L
32,T1_sensory,109222,50259.0,13851.0,12353.0,80,232515401,L
